,Price
2018-01-01,30.808161159562708
2018-01-02,30.753675224173932
2018-01-03,31.46300515907137
2018-01-04,31.50125291733202
2018-01-05,31.35372374401179
2018-01-06,31.35372374401179
2018-01-07,31.35372374401179
2018-01-08,31.678788846579042
2018-01-09,32.3462713425869
2018-01-10,32.601977644024075
2018-01-11,32.50488146419358
2018-01-12,32.371415059574986
2018-01-13,32.371415059574986
2018-01-14,32.396614666502884
2018-01-15,32.42065778159931
2018-01-16,31.89365679891905
2018-01-17,32.21517749662204
2018-01-18,32.062718953445525
2018-01-19,31.814422061171847
2018-01-20,31.814422061171847
2018-01-21,31.814422061171847
2018-01-22,31.839660361134992
2018-01-23,32.11550239528314
2018-01-24,32.354845842034145
2018-01-25,32.387900135118535
2018-01-26,32.62034578061663
2018-01-27,32.62034578061663
2018-01-28,32.62034578061663
2018-01-29,32.433954059697825
2018-01-30,31.870679277730005
2018-01-31,31.92313966343201
2018-02-01,32.183190025795355
2018-02-02,32.071413217049496
2018-02-03,32.071413217049496
2018-02-04,32.071413217049496
2018-02-05,31.695464316423042
2018-02-06,31.31468431396634
2018-02-07,30.824143225647955
2018-02-08,30.559826802604096
2018-02-09,29.614559636408305
2018-02-10,29.614559636408305
2018-02-11,29.614559636408305
2018-02-12,29.518228718830606
2018-02-13,29.351853580641198
2018-02-14,29.849915243827535
2018-02-15,30.04024812676575
2018-02-16,30.47258014985874
2018-02-17,30.47258014985874
2018-02-18,30.55674487163739
2018-02-19,30.879670802112766
2018-02-20,30.758380420095808
2018-02-21,30.759999999999998
2018-02-22,31.18081316791549
2018-02-23,31.681633091757767
2018-02-24,31.681633091757767
2018-02-25,31.681633091757767
2018-02-26,31.79883490971625
2018-02-27,31.581347500307086
2018-02-28,30.957744748802355
2018-03-01,30.441076034885146
2018-03-02,30.45870409040658
2018-03-03,30.45870409040658
2018-03-04,30.45870409040658
2018-03-05,31.060885640584694
2018-03-06,30.92199361257831
2018-03-07,30.195193465176267
2018-03-08,29.959914015477214
2018-03-09,30.899152438275394
2018-03-10,30.899152438275394
2018-03-11,30.899152438275394
2018-03-12,30.536930966711704
2018-03-13,30.113822012037836
2018-03-14,30.303876673627318
2018-03-15,30.572334479793636
2018-03-16,31.189667731236945
2018-03-17,31.189667731236945
2018-03-18,31.189667731236945
2018-03-19,30.93526041026901
2018-03-20,31.87536666257216
2018-03-21,32.331393563444294
2018-03-22,32.03875690947058
2018-03-23,32.66935573025427
2018-03-24,32.66935573025427
2018-03-25,32.66935573025427
2018-03-26,32.28719874708266
2018-03-27,32.27775089055399
2018-03-28,32.11176452524259
2018-03-29,32.38719014863039
2018-03-30,32.33141198869918
2018-03-31,32.33141198869918
2018-04-01,32.33141198869918
2018-04-02,31.444707038447362
2018-04-03,31.761180444662816
2018-04-04,31.680558285222943
2018-04-05,31.883171600540468
2018-04-06,31.05381402776072
2018-04-07,31.05381402776072
2018-04-08,31.05381402776072
2018-04-09,31.6176071735659
2018-04-10,32.53109937354133
2018-04-11,33.144554723007
2018-04-12,33.35986672398968
2018-04-13,33.53267227613315
2018-04-14,33.53267227613315
2018-04-15,33.53267227613315
2018-04-16,32.84385210662081
2018-04-17,33.022161896572904
2018-04-18,33.9868898169758
2018-04-19,33.98874032674118
2018-04-20,34.18739712566024
2018-04-21,34.18739712566024
2018-04-22,34.18739712566024
2018-04-23,34.441057609630256
2018-04-24,33.92609937354133
2018-04-25,34.30206117184621
2018-04-26,34.550119149981576
2018-04-27,34.42004176391107
2018-04-28,34.42004176391107
2018-04-29,34.42004176391107
2018-04-30,34.82041026900872
2018-05-01,34.377222699914014
2018-05-02,34.82567190762805
2018-05-03,34.968471932195065
2018-05-04,35.730154772141006
2018-05-05,35.730154772141006
2018-05-06,35.730154772141006
2018-05-07,36.37697702984891
2018-05-08,35.7007222699914
2018-05-09,36.82102321582115
2018-05-10,36.75868013757524
2018-05-11,36.34710969168407
2018-05-12,36.34710969168407
2018-05-13,36.34710969168407
2018-05-14,36.558847193219506
2018-05-15,37.03069401793392
2018-05-16,37.22157228841666
2018-05-17,37.26633460262866
2018-05-18,37.21917884780739
2018-05-19,37.21917884780739
2018-05-20,37.21917884780739
2018-05-21,37.68580948286451
2018-05-22,37.64315194693526
2018-05-23,37.65633828767964
2018-05-24,36.9849256848053
2018-05-25,35.725829750644884
2018-05-26,35.725829750644884
2018-05-27,35.504453998280304
2018-05-28,35.42753654342218
2018-05-29,35.45810834049871
2018-05-30,35.85468615649183
2018-05-31,35.14398231175531
2018-06-01,34.6421520697703
2018-06-02,34.6421520697703
2018-06-03,34.6421520697703
2018-06-04,33.95680137575236
2018-06-05,34.310013511853576
2018-06-06,33.752720795971015
2018-06-07,34.300678049379684
2018-06-08,34.27488392089424
2018-06-09,34.27488392089424
2018-06-10,34.27488392089424
2018-06-11,34.4181679154895
2018-06-12,34.662461614052326
2018-06-13,34.64906768210293
2018-06-14,35.401158948532114
2018-06-15,34.30892396511485
2018-06-16,34.30892396511485
2018-06-17,34.30892396511485
